gene_name,Inter_16,Inter_17,Inter_18,Mature_25,Mature_26,Early_01,Early_02,Early_03,Early_04,Early_0A
Cc000001,1,0,0,0,0,2,8,0,1,2
Cc000002,22,19,20,47,11,40,43,40,62,37
Cc000003,0,0,0,0,0,2,0,0,1,0
Cc000004,0,0,0,0,0,0,0,0,1,0
Cc000005,0,0,0,0,0,0,0,0,0,0
Cc000006,84,102,122,134,24,1,109,289,50,98
Cc000007,12,23,16,29,18,20,29,22,24,48
Cc000008,0,0,0,0,0,0,0,0,0,0
Cc000009,79,111,66,173,264,125,160,99,97,195
Cc000010,19,47,30,35,7,17,35,52,38,47
Cc000011,0,0,0,0,0,0,0,0,0,0
Cc000012,2,3,1,11,1,28,9,7,2,28
Cc000013,15,18,13,50,15,1,35,42,29,63
Cc000014,13,8,15,10,4,2,46,29,24,28
Cc000015,0,0,0,1,0,1,1,2,2,7
Cc000016,0,0,0,0,0,0,0,0,0,0
Cc000017,6,7,11,11,2,3,4,16,33,22
Cc000018,1,1,1,3,9,1,3,5,0,4
Cc000019,19,24,22,52,39,17,30,60,33,53
Cc000020,26,26,29,45,21,40,63,80,75,70
Cc000021,5,5,8,33,9,5,40,20,11,24
Cc000022,1,2,0,2,1,0,0,0,3,0
Cc000023,0,0,0,0,0,0,0,0,0,1
Cc000024,12,8,33,32,7,33,59,98,50,66
Cc000025,10,14,12,19,10,30,16,16,8,19
Cc000026,97,118,123,205,75,712,430,166,269,218
Cc000027,3,0,4,7,0,3,3,3,1,1
Cc000028,0,0,0,0,0,0,0,0,0,0
Cc000029,0,0,0,0,0,0,0,2,0,0
Cc000030,0,1,3,3,2,5,1,7,5,2
Cc000031,1,0,1,3,1,3,0,3,1,2
Cc000032,9,3,9,29,12,9,2,13,16,25
Cc000033,94,115,109,371,172,140,369,231,206,285
Cc000034,82,107,145,167,167,168,516,406,338,320
Cc000035,70,46,57,59,28,167,247,191,133,94
Cc000036,42,29,21,38,51,9,31,27,46,55
Cc000037,11,9,9,4,0,138,32,20,22,22
Cc000038,31,33,24,27,48,8,78,43,42,42
Cc000039,10,4,8,6,8,121,2,16,9,11
Cc000040,6,8,5,1,2,0,0,1,0,2
Cc000041,1,1,1,0,0,0,2,0,4,0
Cc000042,13,16,7,25,16,12,3,13,7,23
Cc000043,26,31,18,22,9,32,6,15,29,23
Cc000044,27,33,32,77,39,123,90,49,62,82
Cc000045,1,0,0,4,0,0,1,1,0,0
Cc000046,23,20,19,14,10,24,32,36,25,48
Cc000047,0,0,0,0,0,0,0,0,0,0
Cc000048,15,15,19,31,7,2,20,11,28,39
Cc000049,0,0,0,0,0,3,0,0,0,2
Cc000050,33,45,53,86,7,0,127,63,77,128
Cc000051,3,7,1,4,0,1,1,16,2,5
Cc000052,12,7,3,1,3,7,5,21,11,28
Cc000053,0,2,1,3,0,1,0,2,0,1
Cc000054,0,0,0,0,0,1,5,0,0,1
Cc000055,18,21,17,45,17,26,23,19,22,39
Cc000056,28,33,36,50,7,45,45,78,13,75
Cc000057,5,1,17,5,0,209,55,248,9,48
Cc000058,4,1,10,7,2,13,10,11,6,17
Cc000059,0,8,0,11,0,2,9,1,25,10
Cc000060,18,16,11,38,20,25,47,29,17,45
Cc000061,5,2,5,18,5,5,4,9,2,24
Cc000062,1,5,3,7,4,0,1,3,8,9
Cc000063,0,0,0,0,0,0,0,0,0,0
Cc000064,18,19,1,3,4,13,26,31,5,8
Cc000065,2,5,4,6,7,3,0,7,6,7
Cc000066,6,12,7,20,13,11,50,19,16,11
Cc000067,0,0,1,1,1,0,0,0,0,0
Cc000068,40,34,43,145,88,68,128,115,56,159
Cc000069,15,20,16,44,11,36,44,23,31,37
Cc000070,3,2,3,3,0,1,2,5,1,3
Cc000071,0,0,0,0,2,3,2,0,0,3
Cc000072,12,25,32,114,66,52,77,73,55,157
Cc000073,18,18,13,44,13,36,30,19,23,54
Cc000074,2,1,0,0,1,0,0,5,0,1
Cc000075,27,33,19,110,58,39,68,64,58,105
Cc000076,2,4,1,2,0,1,6,2,1,1
Cc000077,14,7,18,28,10,33,11,80,22,58
Cc000078,0,0,1,6,19,1,2,4,0,11
Cc000079,0,0,0,1,0,5,0,0,1,2
Cc000080,2,1,4,3,1,5,1,14,3,17
Cc000081,9,15,15,20,6,23,22,38,22,15
Cc000082,6,11,4,21,22,13,2,13,12,24
Cc000083,0,0,0,0,0,0,0,0,0,0
Cc000084,25,43,21,81,164,27,49,30,33,102
Cc000085,29,22,19,39,22,18,51,83,45,57
Cc000086,2,1,2,0,2,4,6,13,0,2
Cc000087,7,6,4,15,14,2,0,0,1,7
Cc000088,9,6,2,7,2,6,0,7,24,2
Cc000089,6,4,5,22,16,7,7,9,13,12
Cc000090,2,1,0,5,0,2,4,5,10,9
Cc000091,12,16,12,64,2,18,44,14,16,81
Cc000092,33,28,38,136,1,135,81,7,91,133
Cc000093,0,0,0,3,6,0,0,0,3,1
Cc000094,1,0,0,6,0,0,0,0,0,1
Cc000095,2,8,4,8,10,0,2,2,0,9
Cc000096,10,13,10,19,9,13,23,17,15,20
Cc000097,51,30,73,61,56,98,115,192,140,129
Cc000098,1,6,6,14,4,6,4,11,12,24
Cc000099,2,1,2,3,0,1,1,4,2,5
Cc000100,16,16,21,58,19,33,27,64,30,52
Cc000101,6,7,4,9,6,4,12,11,29,19
Cc000102,3,3,0,8,2,1,0,0,5,6
Cc000103,64,71,47,105,34,276,121,95,70,163
Cc000104,0,0,0,0,0,0,0,1,0,0
Cc000105,2,5,2,5,2,5,11,7,5,12
Cc000106,5,8,5,7,4,8,12,7,5,9
Cc000107,78,52,50,133,26,70,114,59,104,93
Cc000108,2,1,4,3,1,4,6,0,1,3
Cc000109,0,0,0,0,0,0,0,0,0,0
Cc000110,2,2,0,5,22,193,3,4,15,9
Cc000111,30,44,31,50,45,20,43,95,37,80
Cc000112,53,76,51,105,11,55,57,70,78,87
Cc000113,283,262,278,351,286,275,1048,999,606,546
Cc000114,16,36,13,21,11,0,24,31,50,64
Cc000115,0,1,0,1,0,0,0,0,0,3
Cc000116,6,8,11,74,15,16,90,32,37,83
Cc000117,36,13,23,64,15,14,76,22,36,79
Cc000118,0,0,0,2,0,0,1,0,0,0
Cc000119,20,9,13,103,28,18,45,22,22,128
Cc000120,3,2,3,1,2,2,2,2,1,14
Cc000121,5,5,6,11,11,7,6,3,9,17
Cc000122,8,6,2,11,0,2,6,20,8,12
Cc000123,2,8,6,7,0,17,7,8,25,12
Cc000124,1,0,0,0,0,0,0,0,0,1
Cc000125,0,0,0,1,0,0,0,0,0,0
Cc000126,2,7,7,8,9,9,1,6,10,13
Cc000127,31,50,27,87,21,59,105,57,46,55
Cc000128,0,2,0,0,0,0,0,0,0,2
Cc000129,2,1,4,8,0,15,2,5,7,20
Cc000130,6,8,2,12,33,6,8,22,26,27
Cc000131,4,0,2,14,3,4,5,3,1,8
Cc000132,2,0,0,0,13,17,0,7,1,10
Cc000133,3,5,3,1,1,17,3,5,4,4
Cc000134,2,9,1,22,15,9,3,7,5,15
Cc000135,10,9,19,19,4,29,23,25,26,37
Cc000136,4,9,3,18,6,10,2,23,6,24
Cc000137,0,5,1,0,0,0,0,0,0,0
Cc000138,0,2,0,0,0,0,0,0,0,0
Cc000139,2,1,1,2,0,0,3,1,6,1
Cc000140,0,0,0,0,0,0,0,0,0,0
Cc000141,1,0,2,2,0,2,1,1,0,12
Cc000142,1,5,3,11,8,1,2,7,9,7
Cc000143,8,3,1,5,2,8,1,2,6,23
Cc000144,3,4,0,25,5,1,3,5,9,22
Cc000145,1,0,0,0,0,0,2,0,1,1
Cc000146,72,77,51,295,173,174,207,96,88,264
Cc000147,1,0,1,6,1,18,0,12,4,9
Cc000148,0,0,0,0,0,0,0,0,0,0
Cc000149,28,39,32,80,34,67,92,72,72,72
Cc000150,3,3,2,5,8,27,0,4,1,5
Cc000151,27,34,31,105,31,61,88,49,59,83
Cc000152,21,23,34,31,3,16,7,99,48,57
Cc000153,11,15,13,40,29,21,37,41,25,45
Cc000154,11,7,8,3,2,13,5,23,21,18
Cc000155,0,0,3,3,1,1,2,11,1,9
Cc000156,20,10,16,40,12,7,24,31,43,42
Cc000157,31,32,20,15,14,21,5,45,19,53
Cc000158,24,20,22,42,15,37,53,55,31,68
Cc000159,0,0,0,0,0,3,0,0,0,0
Cc000160,11,18,13,19,14,26,12,49,10,23
Cc000161,0,7,0,22,8,5,7,7,10,17
Cc000162,49,55,55,69,21,83,121,117,83,119
Cc000163,80,43,84,132,23,555,440,1047,401,753
Cc000164,337,381,381,312,121,577,586,901,449,795
Cc000165,4,10,11,25,3,11,14,17,4,15
Cc000166,13,8,12,9,12,8,54,23,14,18
Cc000167,1,2,1,7,2,1,5,0,2,10
Cc000168,26,24,19,22,14,2,6,25,3,43
Cc000169,12,14,14,18,4,14,40,20,51,29
Cc000170,3,6,7,7,2,15,13,18,13,16
Cc000171,0,0,0,0,0,2,0,0,0,1
Cc000172,10,8,8,24,3,8,13,25,9,21
Cc000173,54,55,35,242,23,1,151,7,54,324
Cc000174,10,20,16,14,11,53,15,17,10,20
Cc000175,2,3,1,0,0,0,33,2,4,15
Cc000176,4,5,5,8,8,14,36,24,21,25
Cc000177,11,18,8,24,8,63,112,36,49,52
Cc000178,53,45,51,84,30,266,173,113,135,154
Cc000179,2,1,0,2,1,15,0,1,2,8
Cc000180,19,23,28,38,40,35,47,84,29,73
Cc000181,12,14,7,12,20,10,5,29,25,15
Cc000182,5,7,1,10,4,19,26,4,4,14
Cc000183,0,0,0,0,0,0,0,1,0,0
Cc000184,11,11,14,19,10,32,42,13,9,23
Cc000185,1,0,1,5,0,2,2,1,4,7
Cc000186,11,21,18,16,5,7,15,51,65,38
Cc000187,3,1,2,4,2,2,9,2,7,1
Cc000188,38,61,60,42,16,49,39,90,42,98
Cc000189,56,63,90,95,33,88,275,167,95,131
Cc000190,51,29,24,46,8,19,29,33,6,51
Cc000191,6,9,10,17,2,35,19,8,8,28
Cc000192,3,5,2,4,3,2,5,2,10,4
Cc000193,1,0,1,4,0,0,3,0,5,3
Cc000194,0,0,0,1,1,0,0,2,0,1
Cc000195,2,6,2,9,17,0,4,4,2,9
Cc000196,3,3,0,1,0,7,0,4,1,3
Cc000197,2,0,2,5,2,2,1,14,3,9
Cc000198,4,3,3,8,3,9,27,13,11,14
Cc000199,10,6,9,45,16,6,10,15,12,26
Cc000200,180,187,135,273,206,180,368,495,279,477
Cc000201,29,37,22,35,22,41,53,77,82,71
Cc000202,10,20,13,30,8,19,22,26,11,49
Cc000203,3,5,3,15,15,2,1,7,7,9
Cc000204,20,14,13,17,3,10,5,64,15,30
Cc000205,6,7,3,6,1,3,15,6,7,9
Cc000206,15,6,15,34,12,12,24,20,14,32
Cc000207,0,0,1,3,0,1,2,2,5,3
Cc000208,0,1,7,0,0,0,2,0,2,1
Cc000209,44,70,65,85,35,307,252,297,194,214
Cc000210,0,4,1,1,0,3,1,2,10,7
Cc000211,3,0,1,1,1,0,2,0,2,0
Cc000212,7,13,4,34,63,6,37,25,12,25
Cc000213,10,12,11,19,25,18,11,33,9,29
Cc000214,5,3,8,30,14,3,12,13,27,43
Cc000215,0,0,1,0,0,0,0,0,0,0
Cc000216,0,0,0,0,0,0,0,0,0,1
Cc000217,0,0,0,0,0,0,0,0,0,0
Cc000218,34,37,35,104,28,45,94,78,114,70
Cc000219,0,0,1,0,0,0,0,0,6,5
Cc000220,1,0,4,0,2,5,3,5,1,8
Cc000221,0,0,1,1,1,4,2,3,2,4
Cc000222,0,0,0,0,0,0,0,0,0,0
Cc000223,20,10,20,42,33,17,38,40,44,68
Cc000224,1503,1675,1805,3799,1147,120,2123,1821,2294,2822
Cc000225,4,1,0,15,2,4,1,17,1,6
Cc000226,0,0,0,0,0,0,0,1,0,0
Cc000227,1,4,1,19,5,1,7,1,8,7
Cc000228,5,9,0,15,1,0,17,11,23,15
Cc000229,27,47,12,82,67,1,35,21,40,67
Cc000230,22,27,57,55,9,40,44,117,39,72
Cc000231,0,0,3,0,0,0,0,2,0,0
Cc000232,46,35,36,77,26,59,47,115,97,75
Cc000233,48,42,46,40,12,104,87,88,21,65
Cc000234,31,35,34,28,42,39,76,82,70,102
Cc000235,3,7,3,9,2,5,10,10,18,14
Cc000236,5,0,0,2,0,1,0,1,0,4
Cc000237,7,6,12,22,20,93,31,59,82,25
Cc000238,1,2,5,18,5,1,2,8,2,13
Cc000239,64,46,49,98,60,54,56,100,101,135
