Itag,Intermediate_Tom_21,Intermediate_Tom_22,Intermediate_Tom_23,Intermediate_Tom_24,Cont_0D,Cont_39,Cont_40,Cont_41,Mature_Tom_32,Mature_Tom_33,Mature_Tom_34,Cont_35,Cont_36,Cont_37,Cont_38,Early_Tom_09,Early_Tom_0C,Early_Tom_10,Early_Tom_11,Early_Tom_12,Early_Tom_13,Early_Tom_14,Early_Tom_15
Solyc00g005280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g006650.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007330.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007340.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007350.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007450.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007920.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007930.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g007940.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g011560.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g011660.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g011670.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g012540.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g013100.1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,1,0,0
Solyc00g013110.1,2,0,1,0,2,0,0,0,0,0,0,0,0,5,3,1,0,0,0,3,1,0,0
Solyc00g013170.1,20,10,21,7,5,6,2,3,0,0,3,0,2,8,13,2,1,0,3,2,4,3,0
Solyc00g013180.1,77,22,46,85,63,37,50,39,13,8,8,19,20,72,159,16,12,14,33,22,22,41,51
Solyc00g014290.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g014790.2,10,9,2,8,23,1,0,13,1,0,0,1,9,5,35,1,5,0,5,9,5,8,3
Solyc00g014800.1,2,2,1,3,4,0,2,0,0,1,0,1,1,1,4,0,0,0,3,3,3,2,0
Solyc00g014810.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Solyc00g014850.1,71,35,51,59,72,23,53,44,2,4,2,34,20,84,233,4,16,28,48,22,29,38,19
Solyc00g014860.1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0
Solyc00g015600.1,1,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Solyc00g016590.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solyc00g019730.1,170,112,290,458,351,141,233,190,15,25,17,150,69,251,692,93,74,193,169,226,77,188,123
Solyc00g019750.1,48,22,120,148,118,64,55,111,2,2,4,77,76,134,164,22,54,59,73,41,15,26,54
Solyc00g019950.1,40,14,23,43,58,16,20,27,5,8,5,26,18,55,83,7,6,18,21,13,15,20,20
Solyc00g019970.2,126,57,135,145,92,33,37,30,2,3,4,31,36,102,293,21,49,17,73,61,25,57,30
Solyc00g019980.2,39,8,30,61,11,10,8,10,0,2,1,11,19,36,63,9,8,3,18,11,8,7,6
Solyc00g019990.1,14,5,11,9,5,1,4,5,0,0,0,3,3,5,11,0,1,3,8,4,1,3,1
Solyc00g020000.1,2,1,6,7,1,0,0,0,0,0,0,1,1,3,4,0,1,0,1,0,1,3,0
Solyc00g020010.1,9,2,7,12,3,0,11,5,0,0,0,1,4,5,47,5,6,2,7,2,2,7,1
Solyc00g020020.2,114,52,74,124,23,6,21,17,2,2,0,43,29,141,146,3,17,30,40,26,14,19,13
Solyc00g020030.1,1,0,7,14,2,0,0,1,0,0,0,1,0,11,9,0,4,2,0,2,1,0,1
Solyc00g020040.1,156,85,219,220,220,81,95,133,13,24,12,113,84,176,354,47,66,137,113,117,40,132,103
Solyc00g021630.1,137,27,69,141,138,82,69,94,11,27,24,49,106,125,245,36,33,34,71,51,41,88,103
Solyc00g021640.2,224,136,343,311,368,113,204,321,13,21,12,112,240,288,509,83,129,177,229,180,137,115,75
Solyc00g021650.1,3,2,4,2,1,2,1,1,1,0,0,1,2,3,6,0,0,0,3,0,2,0,2
Solyc00g021660.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Solyc00g022070.1,1,1,2,8,1,0,1,1,0,0,0,0,0,2,1,0,2,0,0,1,0,1,1
